,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
5,Valparaíso,54,Petorca,5402,Cabildo,6.619,16,1.127,2.454,2.190,651,137,43,1
5,Valparaíso,54,Petorca,5403,Papudo,2.652,7,800,941,679,185,28,12,0
5,Valparaíso,54,Petorca,5404,Petorca,3.782,3,947,1.419,1.021,300,63,29,0
5,Valparaíso,54,Petorca,5405,Zapallar,2.765,3,645,933,818,281,67,18,0
5,Valparaíso,55,Quillota,5501,Quillota,32.896,70,6.391,13.223,10.478,2.172,438,122,2
5,Valparaíso,55,Quillota,5502,Calera,17.023,29,3.702,6.917,4.883,1.184,225,83,0
5,Valparaíso,55,Quillota,5503,Hijuelas,6.534,17,1.774,2.562,1.681,404,71,23,2
5,Valparaíso,55,Quillota,5504,La Cruz,8.443,13,1.605,3.277,2.926,524,84,13,1
5,Valparaíso,55,Quillota,5506,Nogales,7.343,16,1.546,2.915,2.146,573,107,40,0
5,Valparaíso,56,San Antonio,5601,San Antonio,33.806,149,7.503,13.445,9.515,2.479,513,201,1
5,Valparaíso,56,San Antonio,5602,Algarrobo,6.307,26,1.669,2.151,1.822,502,94,41,2
5,Valparaíso,56,San Antonio,5603,Cartagena,9.014,40,2.673,3.235,2.234,602,157,72,1
5,Valparaíso,56,San Antonio,5604,El Quisco,7.489,25,2.303,2.678,1.899,453,92,38,1
5,Valparaíso,56,San Antonio,5605,El Tabo,6.622,25,2.466,2.231,1.441,363,75,20,1
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4.588,16,965,1.434,1.515,512,115,31,0
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,28.723,66,7.185,12.161,7.459,1.441,293,117,1
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,4.860,11,1.289,1.984,1.223,303,37,13,0
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8.721,27,2.244,3.362,2.353,596,96,43,0
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.401,1,585,876,647,227,48,17,0
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,5.868,10,1.378,2.247,1.627,460,102,44,0
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5.286,9,1.025,2.337,1.468,344,79,24,0
5,Valparaíso,58,Marga Marga,5801,Quilpué,58.341,506,12.105,22.797,18.381,3.749,635,162,6
5,Valparaíso,58,Marga Marga,5802,Limache,19.405,50,4.167,7.907,5.652,1.284,265,76,4
5,Valparaíso,58,Marga Marga,5803,Olmué,7.349,43,2.032,2.854,1.855,451,89,25,0
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,49.325,116,8.750,20.007,16.807,3.038,473,128,6
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,199.786,9.645,104.339,63.553,18.648,2.390,640,473,98
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,27.195,96,4.869,11.080,8.670,1.841,430,158,51
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,38.532,228,9.074,14.164,10.164,3.331,964,584,23
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,36.971,168,8.246,12.976,10.930,3.079,939,630,3
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,47.417,191,9.439,18.377,14.096,3.732,1.075,503,4
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,65.017,2.034,25.147,23.149,11.116,2.452,708,384,27
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,29.710,72,5.250,9.142,10.220,3.618,964,443,1
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,43.811,966,18.665,15.344,7.170,1.119,318,222,7
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,36.799,189,10.288,14.720,9.264,1.688,444,202,4
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,128.554,459,29.714,47.750,38.831,9.200,1.858,721,21
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,35.431,159,8.081,13.806,9.997,2.478,649,257,4
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,50.730,155,9.280,20.698,14.670,4.339,1.104,481,3
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,29.714,87,4.728,8.957,10.840,3.910,915,274,3
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,113.948,374,31.726,37.088,30.873,10.307,2.727,807,46
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,31.682,81,4.526,7.423,9.157,6.408,3.034,1.039,14
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,25.016,77,5.169,9.055,6.913,2.573,781,444,4
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,29.844,241,7.759,11.103,7.733,2.104,575,320,9
