,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
8,Biobío,82,Arauco,8203,Cañete,12.430,21,3.209,4.252,3.697,996,206,47,2
8,Biobío,82,Arauco,8204,Contulmo,2.271,7,410,806,739,223,61,25,0
8,Biobío,82,Arauco,8205,Curanilahue,10.989,18,2.436,4.383,3.163,802,157,30,0
8,Biobío,82,Arauco,8206,Los Álamos,7.926,10,1.370,3.310,2.363,697,128,47,1
8,Biobío,82,Arauco,8207,Tirúa,3.579,7,958,1.254,1.019,254,68,18,1
8,Biobío,83,Biobío,8301,Los Ángeles,77.467,125,15.511,30.728,24.391,5.500,967,238,7
8,Biobío,83,Biobío,8302,Antuco,1.701,1,531,613,402,129,21,3,1
8,Biobío,83,Biobío,8303,Cabrero,11.261,7,2.835,4.575,3.011,692,114,27,0
8,Biobío,83,Biobío,8304,Laja,8.459,15,1.745,3.292,2.624,635,114,34,0
8,Biobío,83,Biobío,8305,Mulchén,9.970,25,2.376,3.899,2.729,773,139,26,3
8,Biobío,83,Biobío,8306,Nacimiento,9.107,16,1.511,3.607,2.804,906,201,61,1
8,Biobío,83,Biobío,8307,Negrete,3.721,4,984,1.481,951,247,40,14,0
8,Biobío,83,Biobío,8308,Quilaco,1.707,2,416,616,529,112,25,7,0
8,Biobío,83,Biobío,8309,Quilleco,3.537,6,958,1.316,926,275,47,8,1
8,Biobío,83,Biobío,8310,San Rosendo,1.307,11,341,469,371,95,12,8,0
8,Biobío,83,Biobío,8311,Santa Bárbara,5.143,8,1.160,1.943,1.531,392,83,26,0
8,Biobío,83,Biobío,8312,Tucapel,6.142,14,2.268,2.267,1.283,257,42,11,0
8,Biobío,83,Biobío,8313,Yumbel,8.827,17,2.231,3.414,2.475,573,96,20,1
8,Biobío,83,Biobío,8314,Alto Biobío,2.006,3,490,805,600,89,11,3,5
9,La Araucanía,91,Cautín,9101,Temuco,108.912,928,25.760,43.270,30.915,6.588,1.146,296,9
9,La Araucanía,91,Cautín,9102,Carahue,9.030,21,1.587,3.465,2.751,937,190,79,0
9,La Araucanía,91,Cautín,9103,Cunco,7.281,21,1.991,2.761,1.929,476,74,27,2
9,La Araucanía,91,Cautín,9104,Curarrehue,2.888,16,739,1.241,668,174,37,13,0
9,La Araucanía,91,Cautín,9105,Freire,9.637,48,2.214,3.757,2.722,735,114,46,1
9,La Araucanía,91,Cautín,9106,Galvarino,4.478,16,1.066,1.881,1.128,323,50,14,0
9,La Araucanía,91,Cautín,9107,Gorbea,5.528,8,1.043,2.336,1.660,385,66,30,0
9,La Araucanía,91,Cautín,9108,Lautaro,14.705,34,2.767,6.282,4.319,1.079,177,46,1
9,La Araucanía,91,Cautín,9109,Loncoche,9.512,36,2.373,3.845,2.497,637,100,22,2
9,La Araucanía,91,Cautín,9110,Melipeuco,2.609,3,673,1.009,693,174,41,16,0
9,La Araucanía,91,Cautín,9111,Nueva Imperial,12.012,43,3.539,4.542,2.869,827,154,38,0
9,La Araucanía,91,Cautín,9112,Padre Las Casas,27.469,80,6.103,11.572,7.626,1.711,308,67,2
9,La Araucanía,91,Cautín,9113,Perquenco,2.734,11,849,1.072,630,144,21,6,1
9,La Araucanía,91,Cautín,9114,Pitrufquén,10.139,32,2.625,4.310,2.479,592,76,24,1
9,La Araucanía,91,Cautín,9115,Pucón,12.372,80,3.791,4.708,2.921,727,116,29,0
9,La Araucanía,91,Cautín,9116,Saavedra,4.889,31,1.248,1.792,1.310,414,68,26,0
9,La Araucanía,91,Cautín,9117,Teodoro Schmidt,6.019,19,1.959,2.302,1.359,305,51,24,0
9,La Araucanía,91,Cautín,9118,Toltén,3.827,8,1.150,1.390,970,235,58,16,0
9,La Araucanía,91,Cautín,9119,Vilcún,11.166,39,2.818,4.426,3.046,690,121,26,0
9,La Araucanía,91,Cautín,9120,Villarrica,24.839,128,7.431,9.694,5.995,1.299,234,55,3
9,La Araucanía,91,Cautín,9121,Cholchol,4.519,10,957,1.833,1.264,369,67,19,0
9,La Araucanía,92,Malleco,9201,Angol,18.950,34,4.005,8.017,5.460,1.173,200,59,2
9,La Araucanía,92,Malleco,9202,Collipulli,8.654,14,1.653,3.654,2.535,645,123,28,2
9,La Araucanía,92,Malleco,9203,Curacautín,7.073,12,2.373,2.879,1.383,353,53,20,0
9,La Araucanía,92,Malleco,9204,Ercilla,2.764,9,770,1.096,683,169,29,8,0
9,La Araucanía,92,Malleco,9205,Lonquimay,3.739,5,1.034,1.588,849,199,52,10,2
9,La Araucanía,92,Malleco,9206,Los Sauces,2.690,9,706,1.039,689,188,44,15,0
9,La Araucanía,92,Malleco,9207,Lumaco,3.387,17,1.055,1.276,764,225,36,14,0
9,La Araucanía,92,Malleco,9208,Purén,4.482,3,1.191,1.779,1.144,289,50,25,1
9,La Araucanía,92,Malleco,9209,Renaico,3.776,5,748,1.678,1.064,232,38,10,1
9,La Araucanía,92,Malleco,9210,Traiguén,6.958,19,2.014,2.792,1.723,343,55,11,1
9,La Araucanía,92,Malleco,9211,Victoria,12.362,30,3.246,5.211,3.115,635,94,29,2
14,Los Ríos,141,Valdivia,14101,Valdivia,61.524,327,14.392,23.962,16.901,4.592,1.037,306,7
14,Los Ríos,141,Valdivia,14102,Corral,2.112,10,801,748,434,101,16,2,0
14,Los Ríos,141,Valdivia,14103,Lanco,6.364,27,1.093,2.608,1.921,560,119,36,0
14,Los Ríos,141,Valdivia,14104,Los Lagos,7.841,25,1.991,2.934,2.193,554,105,36,3
14,Los Ríos,141,Valdivia,14105,Máfil,2.925,13,403,1.168,932,322,64,23,0
14,Los Ríos,141,Valdivia,14106,Mariquina,8.134,22,1.497,3.255,2.367,757,179,53,4
14,Los Ríos,141,Valdivia,14107,Paillaco,7.225,14,1.811,2.787,1.992,499,99,23,0
14,Los Ríos,141,Valdivia,14108,Panguipulli,13.181,36,3.644,5.283,3.295,753,132,38,0
14,Los Ríos,142,Ranco,14201,La Unión,14.460,32,3.566,5.929,3.852,883,154,42,2
14,Los Ríos,142,Ranco,14202,Futrono,5.728,14,1.847,2.162,1.385,265,46,9,0
14,Los Ríos,142,Ranco,14203,Lago Ranco,4.065,19,1.187,1.554,998,249,37,21,0
14,Los Ríos,142,Ranco,14204,Río Bueno,12.833,38,3.672,5.230,3.001,742,121,29,0
10,Los Lagos,101,Llanquihue,10101,Puerto Montt,98.794,277,22.938,39.644,27.255,6.819,1.412,443,6
10,Los Lagos,101,Llanquihue,10102,Calbuco,13.345,43,3.785,4.816,3.270,1.120,234,77,0
10,Los Lagos,101,Llanquihue,10103,Cochamó,1.881,10,385,757,453,176,62,38,0
10,Los Lagos,101,Llanquihue,10104,Fresia,4.836,9,1.010,2.021,1.304,392,83,17,0
10,Los Lagos,101,Llanquihue,10105,Frutillar,8.081,24,1.663,3.560,2.105,586,108,35,0
10,Los Lagos,101,Llanquihue,10106,Los Muermos,6.627,11,1.893,2.627,1.565,419,92,20,0
10,Los Lagos,101,Llanquihue,10107,Llanquihue,6.095,21,1.486,2.395,1.606,445,108,30,4
10,Los Lagos,101,Llanquihue,10108,Maullín,5.940,19,1.092,2.232,1.785,584,171,57,0
10,Los Lagos,101,Llanquihue,10109,Puerto Varas,18.779,54,3.963,6.857,5.542,1.771,451,138,3
10,Los Lagos,102,Chiloé,10201,Castro,17.730,29,4.870,6.979,4.261,1.289,235,64,3
10,Los Lagos,102,Chiloé,10202,Ancud,15.566,42,3.686,5.847,4.329,1.313,262,87,0
10,Los Lagos,102,Chiloé,10203,Chonchi,6.308,28,2.206,2.435,1.242,333,51,12,1
10,Los Lagos,102,Chiloé,10204,Curaco de Vélez,1.418,1,482,499,316,94,20,6,0
10,Los Lagos,102,Chiloé,10205,Dalcahue,5.590,15,1.619,2.177,1.334,366,59,20,0
10,Los Lagos,102,Chiloé,10206,Puqueldón,1.546,3,494,562,375,90,19,3,0
10,Los Lagos,102,Chiloé,10207,Queilén,2.226,3,498,856,630,181,42,16,0
10,Los Lagos,102,Chiloé,10208,Quellón,10.757,28,3.578,4.203,2.282,541,99,26,0
10,Los Lagos,102,Chiloé,10209,Quemchi,3.361,5,898,1.165,900,301,62,30,0
10,Los Lagos,102,Chiloé,10210,Quinchao,3.004,12,958,1.059,687,220,49,19,0
10,Los Lagos,103,Osorno,10301,Osorno,61.741,267,15.554,25.411,16.142,3.580,631,148,8
10,Los Lagos,103,Osorno,10302,Puerto Octay,3.310,12,891,1.266,858,217,49,17,0
10,Los Lagos,103,Osorno,10303,Purranque,7.190,30,1.721,3.047,1.859,430,74,28,1
10,Los Lagos,103,Osorno,10304,Puyehue,4.373,21,1.161,1.872,1.052,214,42,11,0
10,Los Lagos,103,Osorno,10305,Río Negro,5.221,11,1.702,1.971,1.173,297,54,10,3
10,Los Lagos,103,Osorno,10306,San Juan de la Costa,3.329,20,804,1.383,851,208,53,10,0
10,Los Lagos,103,Osorno,10307,San Pablo,4.155,10,1.061,1.791,1.046,212,28,6,1
10,Los Lagos,104,Palena,10401,Chaitén,1.664,6,378,607,433,172,47,21,0
10,Los Lagos,104,Palena,10402,Futaleufú,1.326,6,489,497,248,70,9,6,1
10,Los Lagos,104,Palena,10403,Hualaihué,3.692,12,1.026,1.297,867,346,101,43,0
10,Los Lagos,104,Palena,10404,Palena,862,2,155,380,229,69,20,7,0
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11101,Coyhaique,22.198,108,5.699,9.339,5.451,1.313,228,58,2
11,Aysén del General Carlos Ibáñez del Campo,111,Coyhaique,11102,Lago Verde,370,1,117,151,69,25,3,4,0
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11201,Aysén,8.994,29,2.467,3.831,2.060,469,109,28,1
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11202,Cisnes,2.171,16,748,860,393,117,22,13,2
11,Aysén del General Carlos Ibáñez del Campo,112,Aysén,11203,Guaitecas,603,0,128,227,180,50,12,6,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11301,Cochrane,1.449,8,506,598,278,52,6,1,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11302,O'Higgins,291,3,124,114,45,4,1,0,0
11,Aysén del General Carlos Ibáñez del Campo,113,Capitán Prat,11303,Tortel,231,4,86,108,23,7,2,1,0
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11401,Chile Chico,2.097,7,517,929,480,124,26,14,0
11,Aysén del General Carlos Ibáñez del Campo,114,General Carrera,11402,Río Ibáñez,1.227,12,329,561,245,59,15,5,1
12,Magallanes y de la Antártica Chilena,121,Magallanes,12101,Punta Arenas,48.834,201,11.776,19.858,13.667,2.728,457,143,4
12,Magallanes y de la Antártica Chilena,121,Magallanes,12102,Laguna Blanca,95,1,25,34,20,9,2,4,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12103,Río Verde,63,1,28,24,9,0,1,0,0
12,Magallanes y de la Antártica Chilena,121,Magallanes,12104,San Gregorio,108,0,47,23,18,9,6,5,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12201,Cabo de Hornos,611,2,174,241,168,23,2,1,0
12,Magallanes y de la Antártica Chilena,122,Antártica Chilena,12202,Antártica,0,-,-,-,-,-,-,-,-
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12301,Porvenir,2.729,14,703,1.175,637,138,39,23,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12302,Primavera,177,0,37,72,46,14,7,1,0
12,Magallanes y de la Antártica Chilena,123,Tierra del Fuego,12303,Timaukel,60,1,20,23,11,3,1,1,0
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12401,Natales,9.352,53,2.400,4.091,2.245,437,85,38,3
12,Magallanes y de la Antártica Chilena,124,Última Esperanza,12402,Torres del Paine,98,0,22,27,29,9,7,4,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Fuente: Censo de Población y Vivienda 2024 - Instituto Nacional de Estadísticas.
Nota: La información utilizada fue procesada bajo los principios de protección y privacidad de los datos de la ley 17.374.",,,,,,,,,,,,,,
