,,,,,,,,,,
,,,,,,,,,,
"4. Población censada por sexo y razón hombre-mujer, según grupos de edad quinquenal y comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Grupos de edad,Población censada,Hombres,Mujeres,Razón hombre-mujer
4,Coquimbo,41,Elqui,4102,Coquimbo,25 a 29,19.621,9.784,9.837,"99,5"
4,Coquimbo,41,Elqui,4102,Coquimbo,30 a 34,21.486,10.565,10.921,"96,7"
4,Coquimbo,41,Elqui,4102,Coquimbo,35 a 39,20.253,9.848,10.405,"94,6"
4,Coquimbo,41,Elqui,4102,Coquimbo,40 a 44,18.031,8.616,9.415,"91,5"
4,Coquimbo,41,Elqui,4102,Coquimbo,45 a 49,16.411,7.815,8.596,"90,9"
4,Coquimbo,41,Elqui,4102,Coquimbo,50 a 54,15.984,7.673,8.311,"92,3"
4,Coquimbo,41,Elqui,4102,Coquimbo,55 a 59,15.385,7.155,8.230,"86,9"
4,Coquimbo,41,Elqui,4102,Coquimbo,60 a 64,14.305,6.617,7.688,"86,1"
4,Coquimbo,41,Elqui,4102,Coquimbo,65 a 69,11.989,5.574,6.415,"86,9"
4,Coquimbo,41,Elqui,4102,Coquimbo,70 a 74,8.836,4.022,4.814,"83,5"
4,Coquimbo,41,Elqui,4102,Coquimbo,75 a 79,6.221,2.838,3.383,"83,9"
4,Coquimbo,41,Elqui,4102,Coquimbo,80 a 84,4.048,1.695,2.353,"72,0"
4,Coquimbo,41,Elqui,4102,Coquimbo,85 o más,3.356,1.129,2.227,"50,7"
4,Coquimbo,41,Elqui,4103,Andacollo,Total Comuna,11.566,5.800,5.766,"100,6"
4,Coquimbo,41,Elqui,4103,Andacollo,0 a 4,475,257,218,"117,9"
4,Coquimbo,41,Elqui,4103,Andacollo,5 a 9,725,387,338,"114,5"
4,Coquimbo,41,Elqui,4103,Andacollo,10 a 14,903,449,454,"98,9"
4,Coquimbo,41,Elqui,4103,Andacollo,15 a 19,778,398,380,"104,7"
4,Coquimbo,41,Elqui,4103,Andacollo,20 a 24,708,379,329,"115,2"
4,Coquimbo,41,Elqui,4103,Andacollo,25 a 29,708,351,357,"98,3"
4,Coquimbo,41,Elqui,4103,Andacollo,30 a 34,818,380,438,"86,8"
4,Coquimbo,41,Elqui,4103,Andacollo,35 a 39,752,377,375,"100,5"
4,Coquimbo,41,Elqui,4103,Andacollo,40 a 44,684,349,335,"104,2"
4,Coquimbo,41,Elqui,4103,Andacollo,45 a 49,617,309,308,"100,3"
4,Coquimbo,41,Elqui,4103,Andacollo,50 a 54,757,378,379,"99,7"
4,Coquimbo,41,Elqui,4103,Andacollo,55 a 59,902,447,455,"98,2"
