,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
5,Valparaíso,53,Los Andes,5302,Calle Larga,6.203,5.285,859,3,0,1,28,7,0,18,2
5,Valparaíso,53,Los Andes,5303,Rinconada,4.728,3.735,949,2,1,0,1,18,0,19,3
5,Valparaíso,53,Los Andes,5304,San Esteban,8.216,7.514,613,1,51,0,1,8,2,23,3
5,Valparaíso,54,Petorca,5401,La Ligua,24.069,16.338,5.891,193,1.462,5,14,51,10,98,7
5,Valparaíso,54,Petorca,5402,Cabildo,7.339,6.864,68,1,325,0,17,12,0,50,2
5,Valparaíso,54,Petorca,5403,Papudo,8.022,2.885,1.447,2.207,1.463,2,1,4,2,9,2
5,Valparaíso,54,Petorca,5404,Petorca,5.037,4.975,25,0,2,0,0,23,0,9,3
5,Valparaíso,54,Petorca,5405,Zapallar,8.100,5.557,2.189,1,329,0,2,5,0,13,4
5,Valparaíso,55,Quillota,5501,Quillota,37.234,29.150,2.292,421,5.115,3,76,34,0,108,35
5,Valparaíso,55,Quillota,5502,Calera,19.635,14.341,1.370,22,3.734,5,55,24,4,72,8
5,Valparaíso,55,Quillota,5503,Hijuelas,7.376,6.426,880,2,14,0,1,13,1,37,2
5,Valparaíso,55,Quillota,5504,La Cruz,9.860,5.918,3.241,8,624,0,3,38,0,26,2
5,Valparaíso,55,Quillota,5506,Nogales,8.397,7.881,387,4,43,1,7,33,6,32,3
5,Valparaíso,56,San Antonio,5601,San Antonio,40.846,34.319,1.263,191,4.557,8,89,182,9,213,15
5,Valparaíso,56,San Antonio,5602,Algarrobo,21.324,10.153,4.847,4.823,1.426,8,2,15,4,39,7
5,Valparaíso,56,San Antonio,5603,Cartagena,18.209,15.318,2.421,4,340,1,18,55,2,46,4
5,Valparaíso,56,San Antonio,5604,El Quisco,18.702,13.950,3.809,32,814,3,11,27,2,46,8
5,Valparaíso,56,San Antonio,5605,El Tabo,25.134,12.885,8.906,750,2.453,4,4,34,8,82,8
5,Valparaíso,56,San Antonio,5606,Santo Domingo,8.895,6.142,1.819,369,503,3,1,11,5,40,2
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,31.634,25.382,903,361,4.239,3,254,362,9,93,28
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,5.604,5.516,29,1,1,2,5,24,1,24,1
