,,,,,,,,,,
,,,,,,,,,,
"6. Número de viviendas particulares ocupadas con moradores presentes por cantidad de hogares, según comuna.",,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,Viviendas con 1 hogar,Viviendas con 2 hogares,Viviendas con 3 hogares,Viviendas con 4 o más hogares
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8.721,8.567,130,16,8
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2.401,2.365,32,4,0
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,5.868,5.718,134,13,3
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5.286,5.217,64,5,0
5,Valparaíso,58,Marga Marga,5801,Quilpué,58.341,57.386,825,107,23
5,Valparaíso,58,Marga Marga,5802,Limache,19.405,19.090,276,30,9
5,Valparaíso,58,Marga Marga,5803,Olmué,7.349,7.261,76,12,0
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,49.325,48.765,496,59,5
13,Metropolitana de Santiago,131,Santiago,13101,Santiago,199.786,194.427,4.426,710,223
13,Metropolitana de Santiago,131,Santiago,13102,Cerrillos,27.195,26.343,735,96,21
13,Metropolitana de Santiago,131,Santiago,13103,Cerro Navia,38.532,35.787,2.260,402,83
13,Metropolitana de Santiago,131,Santiago,13104,Conchalí,36.971,34.066,2.261,506,138
13,Metropolitana de Santiago,131,Santiago,13105,El Bosque,47.417,45.031,2.037,291,58
13,Metropolitana de Santiago,131,Santiago,13106,Estación Central,65.017,62.785,1.891,258,83
13,Metropolitana de Santiago,131,Santiago,13107,Huechuraba,29.710,27.900,1.456,288,66
13,Metropolitana de Santiago,131,Santiago,13108,Independencia,43.811,42.542,1.033,182,54
13,Metropolitana de Santiago,131,Santiago,13109,La Cisterna,36.799,35.763,865,144,27
13,Metropolitana de Santiago,131,Santiago,13110,La Florida,128.554,124.418,3.423,578,135
13,Metropolitana de Santiago,131,Santiago,13111,La Granja,35.431,34.051,1.135,196,49
13,Metropolitana de Santiago,131,Santiago,13112,La Pintana,50.730,47.966,2.371,343,50
13,Metropolitana de Santiago,131,Santiago,13113,La Reina,29.714,29.007,587,100,20
13,Metropolitana de Santiago,131,Santiago,13114,Las Condes,113.948,112.229,1.350,283,86
13,Metropolitana de Santiago,131,Santiago,13115,Lo Barnechea,31.682,31.056,516,88,22
13,Metropolitana de Santiago,131,Santiago,13116,Lo Espejo,25.016,23.117,1.533,291,75
13,Metropolitana de Santiago,131,Santiago,13117,Lo Prado,29.844,28.246,1.266,269,63
13,Metropolitana de Santiago,131,Santiago,13118,Macul,45.703,44.242,1.179,220,62
13,Metropolitana de Santiago,131,Santiago,13119,Maipú,162.286,157.977,3.705,482,122
13,Metropolitana de Santiago,131,Santiago,13120,Ñuñoa,105.990,103.906,1.713,291,80
13,Metropolitana de Santiago,131,Santiago,13121,Pedro Aguirre Cerda,29.716,27.646,1.647,344,79
13,Metropolitana de Santiago,131,Santiago,13122,Peñalolén,72.642,69.841,2.316,390,95
13,Metropolitana de Santiago,131,Santiago,13123,Providencia,67.240,65.912,940,271,117
13,Metropolitana de Santiago,131,Santiago,13124,Pudahuel,70.285,67.125,2.590,476,94
13,Metropolitana de Santiago,131,Santiago,13125,Quilicura,63.031,61.377,1.369,229,56
13,Metropolitana de Santiago,131,Santiago,13126,Quinta Normal,43.141,41.161,1.554,326,100
13,Metropolitana de Santiago,131,Santiago,13127,Recoleta,52.071,49.322,2.199,415,135
13,Metropolitana de Santiago,131,Santiago,13128,Renca,43.835,41.733,1.719,326,57
13,Metropolitana de Santiago,131,Santiago,13129,San Joaquín,31.562,30.020,1.282,201,59
13,Metropolitana de Santiago,131,Santiago,13130,San Miguel,58.485,57.059,1.176,196,54
13,Metropolitana de Santiago,131,Santiago,13131,San Ramón,21.797,19.306,1.967,417,107
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,30.770,30.515,192,43,20
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,178.007,173.847,3.601,463,96
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,8.918,8.686,205,21,6
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,6.212,6.069,131,11,1
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,49.951,49.139,692,104,16
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,44.627,43.928,609,73,17
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,6.431,6.289,132,8,2
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,95.042,92.046,2.579,338,79
13,Metropolitana de Santiago,134,Maipo,13402,Buin,36.671,35.840,733,82,16
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,7.683,7.536,127,18,2
13,Metropolitana de Santiago,134,Maipo,13404,Paine,25.047,24.360,586,80,21
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,45.253,44.286,797,129,41
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,2.704,2.652,41,8,3
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,11.755,11.541,186,24,4
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,5.169,5.095,70,4,0
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,3.899,3.835,55,8,1
13,Metropolitana de Santiago,136,Talagante,13601,Talagante,23.762,23.184,510,55,13
13,Metropolitana de Santiago,136,Talagante,13602,El Monte,11.911,11.702,190,18,1
13,Metropolitana de Santiago,136,Talagante,13603,Isla de Maipo,12.666,12.387,241,34,4
13,Metropolitana de Santiago,136,Talagante,13604,Padre Hurtado,25.319,24.639,574,85,21
13,Metropolitana de Santiago,136,Talagante,13605,Peñaflor,29.792,28.994,697,85,16
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,90.497,88.934,1.315,193,55
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4.572,4.508,54,6,4
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2.755,2.716,38,1,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7.406,7.287,100,15,4
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7.601,7.518,77,3,3
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,11.700,11.392,246,41,21
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9.625,9.447,158,20,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20.193,19.949,215,23,6
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4.824,4.726,89,8,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,8.756,8.468,240,35,13
