,,,,,,,,,,,
,,,,,,,,,,,
"2. Población censada por tramo de edad e índice de envejecimiento, según sexo y comuna.",,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Sexo,Población censada,0-14,15-64,65 años o más,Índice de envejecimiento
13,Metropolitana de Santiago,131,Santiago,13132,Vitacura,Mujer,46.506,7.433,29.177,9.896,"133,1"
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,Total Comuna,568.086,104.301,397.179,66.606,"63,9"
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,Hombre,273.928,53.441,192.224,28.263,"52,9"
13,Metropolitana de Santiago,132,Cordillera,13201,Puente Alto,Mujer,294.158,50.860,204.955,38.343,"75,4"
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,Total Comuna,29.060,5.449,19.617,3.994,"73,3"
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,Hombre,14.399,2.803,9.644,1.952,"69,6"
13,Metropolitana de Santiago,132,Cordillera,13202,Pirque,Mujer,14.661,2.646,9.973,2.042,"77,2"
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,Total Comuna,17.441,2.932,11.748,2.761,"94,2"
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,Hombre,8.674,1.505,5.862,1.307,"86,8"
13,Metropolitana de Santiago,132,Cordillera,13203,San José de Maipo,Mujer,8.767,1.427,5.886,1.454,"101,9"
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,Total Comuna,173.293,41.206,118.841,13.246,"32,1"
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,Hombre,86.925,21.021,59.799,6.105,"29,0"
13,Metropolitana de Santiago,133,Chacabuco,13301,Colina,Mujer,86.368,20.185,59.042,7.141,"35,4"
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,Total Comuna,145.160,35.062,100.357,9.741,"27,8"
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,Hombre,72.328,18.021,49.750,4.557,"25,3"
13,Metropolitana de Santiago,133,Chacabuco,13302,Lampa,Mujer,72.832,17.041,50.607,5.184,"30,4"
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,Total Comuna,19.742,3.901,13.134,2.707,"69,4"
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,Hombre,9.940,2.007,6.564,1.369,"68,2"
13,Metropolitana de Santiago,133,Chacabuco,13303,Tiltil,Mujer,9.802,1.894,6.570,1.338,"70,6"
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,Total Comuna,306.371,60.805,210.882,34.684,"57,0"
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,Hombre,148.696,30.928,102.844,14.924,"48,3"
13,Metropolitana de Santiago,134,Maipo,13401,San Bernardo,Mujer,157.675,29.877,108.038,19.760,"66,1"
13,Metropolitana de Santiago,134,Maipo,13402,Buin,Total Comuna,116.969,24.919,79.923,12.127,"48,7"
13,Metropolitana de Santiago,134,Maipo,13402,Buin,Hombre,56.564,12.584,38.698,5.282,"42,0"
13,Metropolitana de Santiago,134,Maipo,13402,Buin,Mujer,60.405,12.335,41.225,6.845,"55,5"
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,Total Comuna,25.491,4.593,17.463,3.435,"74,8"
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,Hombre,12.607,2.347,8.664,1.596,"68,0"
13,Metropolitana de Santiago,134,Maipo,13403,Calera de Tango,Mujer,12.884,2.246,8.799,1.839,"81,9"
13,Metropolitana de Santiago,134,Maipo,13404,Paine,Total Comuna,78.828,15.339,53.411,10.078,"65,7"
13,Metropolitana de Santiago,134,Maipo,13404,Paine,Hombre,38.873,7.819,26.255,4.799,"61,4"
13,Metropolitana de Santiago,134,Maipo,13404,Paine,Mujer,39.955,7.520,27.156,5.279,"70,2"
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,Total Comuna,136.325,26.419,90.595,19.311,"73,1"
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,Hombre,66.759,13.496,44.373,8.890,"65,9"
13,Metropolitana de Santiago,135,Melipilla,13501,Melipilla,Mujer,69.566,12.923,46.222,10.421,"80,6"
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,Total Comuna,7.768,1.611,5.146,1.011,"62,8"
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,Hombre,3.863,828,2.541,494,"59,7"
13,Metropolitana de Santiago,135,Melipilla,13502,Alhué,Mujer,3.905,783,2.605,517,"66,0"
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,Total Comuna,35.165,6.456,23.399,5.310,"82,2"
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,Hombre,17.226,3.246,11.494,2.486,"76,6"
13,Metropolitana de Santiago,135,Melipilla,13503,Curacaví,Mujer,17.939,3.210,11.905,2.824,"88,0"
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,Total Comuna,15.352,2.900,10.086,2.366,"81,6"
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,Hombre,7.559,1.444,4.981,1.134,"78,5"
13,Metropolitana de Santiago,135,Melipilla,13504,María Pinto,Mujer,7.793,1.456,5.105,1.232,"84,6"
13,Metropolitana de Santiago,135,Melipilla,13505,San Pedro,Total Comuna,11.108,2.134,7.083,1.891,"88,6"
